rowIndex,Name,urlColumn,url,mapId,slug,section,file_all,file_section,status,error
21,Downtown Brooklyn Partnership,Share Url (dark),https://share.livexyz.com/maplist/5b201f5a03b7900003eec8a3?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5b201f5a03b7900003eec8a3,downtown-brooklyn-partnership,,all/5b201f5a03b7900003eec8a3__downtown-brooklyn-partnership.png,,ok,
22,Downtown Flushing,Share Url (dark),https://share.livexyz.com/maplist/5ca383cff7787b00017c0dc3?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca383cff7787b00017c0dc3,downtown-flushing,,all/5ca383cff7787b00017c0dc3__downtown-flushing.png,,ok,
23,DUMBO,Share Url (dark),https://share.livexyz.com/maplist/5ca38431cb5baf0001a11af1?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca38431cb5baf0001a11af1,dumbo,,all/5ca38431cb5baf0001a11af1__dumbo.png,,ok,
24,East Brooklyn BID,Share Url (dark),https://share.livexyz.com/maplist/5ca3835ff7787b00017c0d97?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca3835ff7787b00017c0d97,east-brooklyn-bid,,all/5ca3835ff7787b00017c0d97__east-brooklyn-bid.png,,ok,
25,East Midtown Partnership,Share Url (dark),https://share.livexyz.com/maplist/5c61c20f0f153c0001d19441?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5c61c20f0f153c0001d19441,east-midtown-partnership,,all/5c61c20f0f153c0001d19441__east-midtown-partnership.png,,ok,
26,Garment District Official Guide,Share Url (dark),https://share.livexyz.com/maplist/5cc8c52f42ec090001fee27a?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5cc8c52f42ec090001fee27a,garment-district-official-guide,,all/5cc8c52f42ec090001fee27a__garment-district-official-guide.png,,ok,
27,Jerome-Gun Hill BID,Share Url (dark),https://share.livexyz.com/maplist/5ca383d5cb5baf0001a11acd?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca383d5cb5baf0001a11acd,jerome-gun-hill-bid,,all/5ca383d5cb5baf0001a11acd__jerome-gun-hill-bid.png,,ok,
28,125th Street BID,Share Url (dark),https://share.livexyz.com/maplist/5ca3837cf7787b00017c0da1?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca3837cf7787b00017c0da1,125th-street-bid,,all/5ca3837cf7787b00017c0da1__125th-street-bid.png,,ok,
29,165th Street BID,Share Url (dark),https://share.livexyz.com/maplist/5ca384c2cb5baf0001a11b33?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca384c2cb5baf0001a11b33,165th-street-bid,,all/5ca384c2cb5baf0001a11b33__165th-street-bid.png,,ok,
30,14th Street BID,Share Url (dark),https://share.livexyz.com/maplist/5ca38494cb5baf0001a11b26?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca38494cb5baf0001a11b26,14th-street-bid,,all/5ca38494cb5baf0001a11b26__14th-street-bid.png,,ok,
